"name","canonical_smiles","smiles","formula","mol_wt","cid","activity_class","source"
"Ketoconazole","CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1","CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c5ccc(Cl)cc5Cl)O3)cc2","C26H28Cl2N4O4",530.15,47576,"Inhibitor (Strong)","PubChem / Reference"
"Itraconazole","CCC(C)n1ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccc(Cl)cc5Cl)O4)cc3)CC2)cc1","CCC(C)n1ncn1-c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(c7ccc(Cl)cc7Cl)O5)cc4","C34H38Cl2N8O3",676.24,55283,"Inhibitor (Strong)","PubChem / FDA"
"Ritonavir","CC(C)c1nc(CSC(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cn1C","CC(C)c1nc(cn1C)CSC(=O)NC(C(C)C)C(=O)NC(Cc2ccccc2)CC(C(Cc3ccccc3)NC(=O)OCc4cncs4)O","C37H48N6O5S2",720.31,392622,"Inhibitor (Strong)","PubChem / FDA"
"Clarithromycin","CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)CC(C)(O)C(=O)C(C)C(C)C1O","CCC1C(C(C(C(=O)C(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O","C35H63NO12",689.44,84029,"Inhibitor (Strong)","PubChem / FDA"
"Telithromycin","CCC1OC(=O)C(C)C(n2ccc3ncccc32)C(C)C(OC2OC(C)CC(N(C)C)C2O)CC(C)(O)C(=O)C(C)C(C)C1O","CCC1C(C(C(C(=O)C(CC(C(C(C(C(=O)O1)C)n2ccc3c2cccn3)C)OC4C(C(CC(O4)C)N(C)C)O)(C)O)C)C)O","C34H53N3O8",631.38,6918241,"Inhibitor (Strong)","PubChem / FDA"
"Fluconazole","OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F","OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F","C13H12F2N6O",306.1,3365,"Inhibitor (Moderate)","PubChem / Reference"
"Voriconazole","CC(c1ncc(F)c(F)n1)C(O)(Cn1cncn1)c1ccc(F)cc1F","CC(c1ncc(F)c(n1)F)C(O)(Cn2cncn2)c3ccc(F)cc3F","C16H13F4N5O",367.11,166548,"Inhibitor (Moderate)","PubChem / FDA"
"Posaconazole","CCC(C)n1ncn1-c1ccc(N2CCN(c3ccc(OCC4COC(Cn5cncn5)(c5ccc(F)cc5F)O4)cc3)CC2)cc1","CCC(C)n1ncn1-c2ccc(cc2)N3CCN(CC3)c4ccc(OCC5COC(Cn6cncn6)(c7ccc(F)cc7F)O5)cc4","C34H38F2N8O3",644.3,468595,"Inhibitor (Strong)","PubChem / FDA"
"Erythromycin","CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)CC(C)(O)C(=O)C(C)C(C)C1O","CCC1C(C(C(C(=O)C(CC(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O","C35H63NO12",689.44,12560,"Inhibitor (Moderate)","PubChem / FDA"
"Diltiazem","COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1","CC(=O)OC1C(c2ccc(OC)cc2)Sc3ccccc3N(CCN(C)C)C1=O","C22H26N2O4S",414.16,39186,"Inhibitor (Moderate)","PubChem / FDA"
"Verapamil","COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC","COc1ccc(CCN(C)CCCC(C#N)(C(C)C)c2ccc(OC)c(OC)c2)cc1OC","C27H38N2O4",454.28,2520,"Inhibitor (Moderate)","PubChem / FDA"
